Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-05-08, the article 'Kamala Harris to introduce legislation aimed at aiding public defenders' has a sentiment score of Sentiment(polarity=0.012813620071684594, subjectivity=0.3576164874551972)
On 2019-05-08, the article 'Tuesday's Colorado school shooting shares a rare connection with the Columbine massacre, expert says' has a sentiment score of Sentiment(polarity=0.03947293447293447, subjectivity=0.4376638176638177)
On 2019-05-07, the article 'Judge says Coast Guard officer accused of domestic terror threat should be released to wife's parents' has a sentiment score of Sentiment(polarity=0.046553030303030304, subjectivity=0.29784090909090916)
On 2019-05-06, the article 'Analysis: Don't use the royal birth to trot out a dangerous myth' has a sentiment score of Sentiment(polarity=0.10835533910533907, subjectivity=0.47432467532467504)
On 2019-05-07, the article 'Red counties are doing better under Trump -- but not as well as blue cities' has a sentiment score of Sentiment(polarity=0.1407377728654324, subjectivity=0.3952505296122319)
On 2019-05-06, the article 'Daenerys Targaryen's momentous fate' has a sentiment score of Sentiment(polarity=0.06451150535971963, subjectivity=0.452326195629767)
On 2019-05-06, the article 'Cory Booker unveils 'sweeping' but 'simple' gun violence prevention plan' has a sentiment score of Sentiment(polarity=0.13536883991429446, subjectivity=0.4365188683370502)
On 2019-05-05, the article 'Kamala Harris eyes black voters, women in campaign tour to win over Midwest' has a sentiment score of Sentiment(polarity=0.06605772005772007, subjectivity=0.4170627705627706)
On 2019-05-05, the article 'Does Kushner's immigration plan stand a chance?' has a sentiment score of Sentiment(polarity=0.0998823051948052, subjectivity=0.4136404220779221)
On 2019-05-05, the article 'North Carolina K-9 officer fatally shot during routine traffic stop, police say' has a sentiment score of Sentiment(polarity=-0.02500000000000001, subjectivity=0.3625)
On 2019-05-05, the article ''Chernobyl' turns the Soviet nuclear disaster into a riveting miniseries' has a sentiment score of Sentiment(polarity=-0.058110119047619056, subjectivity=0.5628802910052911)
On 2019-05-03, the article 'Kamala Harris wants IG to investigate if Barr opened probes into Trump enemies at White House request' has a sentiment score of Sentiment(polarity=-0.0006727994227994157, subjectivity=0.4553300865800865)
On 2019-05-03, the article 'Native Americans are more likely to be reported missing than others. New laws seek to address that' has a sentiment score of Sentiment(polarity=0.022878787878787867, subjectivity=0.31393789081289075)
On 2019-05-02, the article 'Kamala Harris on Trump calling her 'nasty': I want to pursue justice 'and you can call that whatever name you want'' has a sentiment score of Sentiment(polarity=0.02267547928262214, subjectivity=0.5703298289012574)
On 2019-05-01, the article 'Barr defiant amid furor over his handling of Mueller report' has a sentiment score of Sentiment(polarity=0.08639850889850889, subjectivity=0.4309792603910252)
On 2019-05-02, the article 'Billboard Music Awards 2019: The winners list' has a sentiment score of Sentiment(polarity=0.26551357733175907, subjectivity=0.4718384645657372)
On 2019-05-02, the article 'Kamala Harris accuses Barr of not answering her question to avoid exposure to perjury' has a sentiment score of Sentiment(polarity=0.16058723884810844, subjectivity=0.4886896919505615)
On 2019-04-30, the article 'William Barr testifies on the Mueller report' has a sentiment score of Sentiment(polarity=0.0904338402027476, subjectivity=0.42590819964349425)
On 2019-05-02, the article 'When you should use self-help programs and when to skip them' has a sentiment score of Sentiment(polarity=0.09613359697946167, subjectivity=0.4315121157038452)
On 2019-05-01, the article '2020 candidates line up to call on Barr to resign after Senate grilling' has a sentiment score of Sentiment(polarity=0.051686625063248434, subjectivity=0.3515868330803396)
On 2013-09-30, the article 'Titanic Fast Facts' has a sentiment score of Sentiment(polarity=0.03426452020202018, subjectivity=0.3172573953823954)
On 2019-05-02, the article 'Harris on Barr hearing: There's 'concern about whether or not our democracy is intact'' has a sentiment score of Sentiment(polarity=0.002334686147186158, subjectivity=0.37179220779220784)
On 2019-05-01, the article 'What's moving markets today: May 1, 2019' has a sentiment score of Sentiment(polarity=0.0770952941341291, subjectivity=0.4093715763740035)
On 2019-05-01, the article '9 key takeaways from William Barr's testimony on the Mueller report' has a sentiment score of Sentiment(polarity=0.09247623681109919, subjectivity=0.42350646041013)
On 2019-05-01, the article 'Police pursue the theory that Micalla Rettinger's death might have been a hunting accident' has a sentiment score of Sentiment(polarity=-0.004626623376623381, subjectivity=0.40806277056277057)
On 2019-05-01, the article 'Mueller expressed frustration the day after Attorney General Barr released summary of special counsel report' has a sentiment score of Sentiment(polarity=0.0631523569023569, subjectivity=0.39791140572390565)
On 2019-04-30, the article 'Mueller expressed misgivings to Barr about 4-page letter' has a sentiment score of Sentiment(polarity=0.10172438672438672, subjectivity=0.46470873329568996)
On 2019-04-30, the article 'A 25-year-old Iowa woman was shot and killed while driving home from work' has a sentiment score of Sentiment(polarity=0.11357142857142859, subjectivity=0.4350892857142857)
On 2019-04-30, the article 'What it means to be black and pregnant in America' has a sentiment score of Sentiment(polarity=0.04598731884057974, subjectivity=0.4861425983436853)
On 2019-04-30, the article 'The NRA and the battle against itself' has a sentiment score of Sentiment(polarity=0.07113589052113645, subjectivity=0.37627513424644565)
On 2019-04-29, the article 'Texas district attorney files charges against chemical plant for its 4-day fire' has a sentiment score of Sentiment(polarity=-0.015323438466295611, subjectivity=0.4376734693877551)
On 2019-04-29, the article 'Houses of worship worry: Who's next?' has a sentiment score of Sentiment(polarity=0.037712901852246114, subjectivity=0.364626357249308)
On 2019-04-28, the article 'New York Times says it is 'deeply sorry' for running anti-Semitic cartoon' has a sentiment score of Sentiment(polarity=0.03240277482080762, subjectivity=0.44832931185390207)
On 2019-03-07, the article 'The two parties have more work to do to fight anti-Semitism' has a sentiment score of Sentiment(polarity=-0.034165395451109734, subjectivity=0.4173078403078403)
On 2019-04-27, the article 'Uber driver picked up 2 riders in Texas. One passenger killed the other and fled, police say' has a sentiment score of Sentiment(polarity=-0.038461538461538464, subjectivity=0.125)
On 2019-04-26, the article ''I got a plan': Elizabeth Warren takes on racial inequality with her policy proposals' has a sentiment score of Sentiment(polarity=0.13016614745586708, subjectivity=0.45994882324321584)
On 2019-04-25, the article 'Daniel Craig's final outing as James Bond will include Rami Malek as the bad guy' has a sentiment score of Sentiment(polarity=0.13321086807928917, subjectivity=0.4077067669172932)
On 2019-04-25, the article 'Here's why 8 Democratic presidential hopefuls think women of color should vote for them' has a sentiment score of Sentiment(polarity=0.16559325135412084, subjectivity=0.4545160716899847)
On 2019-04-25, the article 'Joe Biden takes Trump head-on over Charlottesville in announcement video' has a sentiment score of Sentiment(polarity=0.1262796195033037, subjectivity=0.43227813852813846)
On 2019-04-25, the article 'What made Joe Biden's video stand out' has a sentiment score of Sentiment(polarity=0.03514253042554931, subjectivity=0.5450677938413786)
On 2019-04-25, the article 'After a late entry, Joe Biden scrambles for presidential campaign money with high-dollar fundraisers' has a sentiment score of Sentiment(polarity=0.08669669532345588, subjectivity=0.3712212669959149)
On 2019-04-24, the article 'Bernie Sanders is the new No. 1 in our 2020 Democrat rankings' has a sentiment score of Sentiment(polarity=0.12314179207036349, subjectivity=0.4473648045076614)
On 2019-04-25, the article 'Joe Biden's biggest immediate weakness might surprise you' has a sentiment score of Sentiment(polarity=0.12460221967574914, subjectivity=0.47302786266021546)
On 2019-04-25, the article 'Joe Biden fights for old soul of Democratic Party with 2020 campaign launch' has a sentiment score of Sentiment(polarity=0.1280591810786616, subjectivity=0.40808646440139945)
On 2019-04-25, the article 'Kamala Harris chooses women of color to drive her campaign' has a sentiment score of Sentiment(polarity=0.1238757895110354, subjectivity=0.4093919286542238)
On 2019-04-24, the article 'Weld: 'If Donald Trump is an American patriot, he should resign'' has a sentiment score of Sentiment(polarity=0.10713834776334778, subjectivity=0.4446236922799423)
On 2019-04-24, the article 'Cory Booker releases 10 years of tax returns' has a sentiment score of Sentiment(polarity=0.17892561983471075, subjectivity=0.4028581267217631)
On 2019-04-24, the article 'Beto O'Rourke: Time to 'rethink' non-violent offenders losing voting rights while incarcerated' has a sentiment score of Sentiment(polarity=-0.04517195767195768, subjectivity=0.5366402116402117)
On 2019-04-24, the article 'Kamala Harris promises to do more for non-violent drug offenders than Obama' has a sentiment score of Sentiment(polarity=0.0898538961038961, subjectivity=0.41896645021645024)
On 2019-04-24, the article 'Biden's team was warned about announcing 2020 bid on same day as forum focused on women of color' has a sentiment score of Sentiment(polarity=-0.10509259259259257, subjectivity=0.3800925925925926)
On 2019-04-23, the article 'Harris and Buttigieg showed why they could take on Trump' has a sentiment score of Sentiment(polarity=0.08034706959706961, subjectivity=0.4573192918192919)
On 2019-04-23, the article 'Clinton: Trump 'would certainly have been indicted' if not President' has a sentiment score of Sentiment(polarity=0.02184218559218559, subjectivity=0.44345085470085477)
On 2019-04-23, the article 'Democrats may be outsmarting themselves on impeachment' has a sentiment score of Sentiment(polarity=0.040280099127925205, subjectivity=0.31081438609699485)
On 2019-04-23, the article 'As Buttigieg grows in popularity, his campaign fights to keep up' has a sentiment score of Sentiment(polarity=0.11988730277986479, subjectivity=0.45017593288254454)
On 2019-04-23, the article 'Warren's the professor and Buttigieg is the charismatic student without his homework. Guess who voters like best?' has a sentiment score of Sentiment(polarity=0.11752769289533997, subjectivity=0.4965383880825057)
On 2019-04-23, the article 'Fact-checking CNN's back-to-back town halls' has a sentiment score of Sentiment(polarity=0.14016106442577028, subjectivity=0.4268347338935573)
On 2019-04-22, the article 'Democrats face a new 'barrier to entry': a plan for college debt' has a sentiment score of Sentiment(polarity=0.19159564151499636, subjectivity=0.48385956337569225)
On 2019-04-23, the article 'Klobuchar breaks from the populist pack' has a sentiment score of Sentiment(polarity=0.18715092097445038, subjectivity=0.4571308321308321)
On 2019-04-23, the article '2020 is not a fair playing field. Here's how to even it out' has a sentiment score of Sentiment(polarity=0.15184688499905896, subjectivity=0.41260022586109546)
